Test,System Number,System Name,Symbol,Unit,Position,Entry Date,Entry Time,Entry Order Price,Stop Price,Risk%,Quantity,Entry Fill,Entry DPP,Entry Stock Split Ratio,Exit Date,Exit Time,Exit Order Price,Exit Fill,Exit DPP,Dividends,Commission,Forex Carry,Profit,Profit%,Closed Equity,Total Equity,Drawdown,Days in Trade,R Multiple,Custom,Rule,,,,,,04.06.2012,06.06.2012,,,,,,,,
1,1,Donchian w Rule Labels,HU,1,Long,12.06.2014,Day,"3,0506","2,9785","1,84%",1,"3,0536",42000,1,11.07.2014,Day,"2,9785","2,9774",42000,0,8,0,"-3293,7736598","-1,92%",91259,201867,"59,60%",29,"-1,0442501",0,Breakout High Entry, Stop Exit,12.06.2014,11.07.2014,,,41064,41066,,HU,,,,,,
1,1,Donchian w Rule Labels,MP,1,Long,02.05.2014,Day,"0,06985","0,06885","2,77%",9,"0,069875",500000,1,31.07.2014,Day,"0,069025","0,069",500000,0,72,0,"-4111,9618785","-2,47%",108596,249699,"50,10%",90,"-0,8914823",0,Breakout High Entry, Breakout Low Exit,02.05.2014,31.07.2014,,,41064,41066,,MP,,,,,,
1,1,Donchian w Rule Labels,CL,1,Long,20.05.2014,Day,"125,5",123,"1,61%",1,"125,51",1000,1,31.07.2014,Day,"123,48","123,44",1000,0,8,0,"-2138,5707059","-1,37%",105034,248287,"50,30%",72,"-0,8520202",0,Breakout High Entry, Breakout Low Exit,20.05.2014,31.07.2014,,,41064,41066,,CL,,,,,,
1,1,Donchian w Rule Labels,AD,1,Long,26.06.2014,Day,"0,8982","0,8867","2,90%",5,"0,8983",100000,1,01.08.2014,Day,"0,8867","0,8866",100000,0,20,0,-5870,"-2,94%",99175,238316,"52,30%",36,"-1,012069",0,Breakout High Entry, Stop Exit,26.06.2014,01.08.2014,,,41064,41066,,AD,,,,,,
1,1,Donchian w Rule Labels,BP,1,Long,22.11.2013,Day,"1,63","1,6103","2,73%",3,"1,6301",62500,1,13.08.2014,Day,"1,6864","1,686",62500,0,48,0,"10175,7353298","7,49%",170510,229332,"54,10%",264,"2,7409388",0,Breakout High Entry, Breakout Low Exit,22.11.2013,13.08.2014,,,41064,41066,,BP,,,,,,
1,1,Donchian w Rule Labels,LC,1,Long,22.01.2014,Open,"112,625","110,85","2,95%",6,"112,875",400,1,13.08.2014,Day,"122,7","122,575",400,0,96,0,"22580,0457855","13,70%",161318,227760,"54,40%",203,"4,6461",0,Breakout High Entry, Breakout Low Exit,22.01.2014,13.08.2014,,,41064,41066,,LC,,,,,,
1,1,Donchian w Rule Labels,ED,1,Long,14.08.2014,Day,"97,965","97,925","3,07%",67,"97,9675",2500,1,25.08.2014,Day,"97,925","97,9225",2500,0,268,0,"-7805,5","-3,37%",150356,228987,"54,20%",11,"-1,0964706",0,Breakout High Entry, Stop Exit,14.08.2014,25.08.2014,,,41064,41066,,ED,,,,,,
1,1,Donchian w Rule Labels,NG,1,Short,15.08.2014,Day,"6,149","6,351","2,56%",3,"6,148",10000,1,26.08.2014,Day,"6,351","6,352",10000,0,12,0,-6132,"-2,58%",144231,234844,"53,00%",11,"-1,0068966",0,Breakout Low Entry, Stop Exit,15.08.2014,26.08.2014,,,41064,41066,,NG,,,,,,
1,1,Donchian w Rule Labels,NG,1,Short,04.09.2014,Day,"6,149","6,351","2,39%",3,"6,148",10000,1,09.09.2014,Day,"6,351","6,352",10000,0,12,0,-6132,"-2,40%",198986,288587,"42,30%",5,"-1,0068966",0,Breakout Low Entry, Stop Exit,04.09.2014,09.09.2014,,,41064,41066,,NG,,,,,,
1,1,Donchian w Rule Labels,PA,1,Long,04.03.2014,Day,"775,35","754,25","2,17%",2,"775,4",100,1,12.09.2014,Day,"835,4","835,1",100,0,24,0,"11646,5978361","5,97%",219337,311714,"37,70%",192,"2,7533328",0,Breakout High Entry, Breakout Low Exit,04.03.2014,12.09.2014,,,41064,41066,,PA,,,,,,
1,1,Donchian w Rule Labels,LC,1,Long,05.09.2014,Day,"135,425","131,35","2,35%",4,"135,45",400,1,16.09.2014,Day,"131,35","131,3",400,0,32,0,"-6866,8009968","-2,46%",213013,308257,"38,30%",11,"-1,0467684",0,Breakout High Entry, Stop Exit,05.09.2014,16.09.2014,,,41064,41066,,LC,,,,,,
1,1,Donchian w Rule Labels,JGB,1,Long,10.04.2014,Day,"141,7","141,31","2,34%",1,"141,7","9851,2461826",1,19.09.2014,Day,"142,71","142,7","9176,8376617",0,12,0,"9637,3552074","5,87%",213934,329834,"34,00%",162,"2,5084306",0,Breakout High Entry, Breakout Low Exit,10.04.2014,19.09.2014,,,41064,41066,,JGB,,,,,,
1,1,Donchian w Rule Labels,AD,1,Short,01.10.2014,Day,"0,834","0,8466","2,73%",10,"0,8337",100000,1,07.10.2014,Day,"0,8466","0,8467",100000,0,40,0,-13040,"-2,76%",267646,481600,"13,80%",6,"-1,0108527",0,Breakout Low Entry, Stop Exit,01.10.2014,07.10.2014,,,41064,41066,,AD,,,,,,
1,1,Donchian w Rule Labels,AD,1,Short,13.10.2014,Day,"0,8306","0,845","2,86%",11,"0,8305",100000,1,14.10.2014,Day,"0,845","0,8451",100000,0,44,0,-16104,"-2,88%",251544,532374,"4,70%",1,"-1,0096552",0,Breakout Low Entry, Stop Exit,13.10.2014,14.10.2014,,,41064,41066,,AD,,,,,,
1,1,Donchian w Rule Labels,S,1,Short,23.09.2014,Open,"973,25","1008,5","3,17%",6,967,50,1,15.10.2014,Day,"1008,5","1008,75",50,0,24,0,-12549,"-3,20%",270275,558320,"0,70%",22,"-1,0079518",0,Breakout Low Entry, Stop Exit,23.09.2014,15.10.2014,,,41064,41066,,S,,,,,,
1,1,Donchian w Rule Labels,KC,1,Long,02.10.2014,Day,"251,25","238,95","2,95%",3,"251,5",375,1,21.10.2014,Open,"238,95","237,15",375,0,12,0,"-16155,75","-3,38%",315466,552898,"2,00%",19,"-1,1442762",0,Breakout High Entry, Stop Exit,02.10.2014,21.10.2014,,,41064,41066,,KC,,,,,,
1,1,Donchian w Rule Labels,CC,1,Long,27.05.2014,Day,2959,2881,"2,65%",5,2960,10,1,27.10.2014,Day,2954,2951,10,0,60,0,"-707,1952549","-0,47%",307121,558296,"2,10%",153,"-0,1790368",0,Breakout High Entry, Breakout Low Exit,27.05.2014,27.10.2014,,,41064,41066,,CC,,,,,,
1,1,Donchian w Rule Labels,C,1,Short,06.06.2014,Day,"562,75",580,"2,73%",5,"562,5",50,1,28.10.2014,Day,482,"482,25",50,0,40,0,"19902,9749589","12,42%",325300,572844,"0,30%",144,"4,5492514",0,Breakout Low Entry, Breakout High Exit,06.06.2014,28.10.2014,,,41064,41066,,C,,,,,,
1,1,Donchian w Rule Labels,BO,1,Short,08.07.2014,Day,"42,38","43,71","2,59%",7,"42,36",600,1,30.10.2014,Day,"38,69","38,7",600,0,28,0,15344,"7,00%",340635,506422,"11,80%",114,"2,7061728",0,Breakout Low Entry, Breakout High Exit,08.07.2014,30.10.2014,,,41064,41066,,BO,,,,,,
1,1,Donchian w Rule Labels,O,1,Long,23.10.2014,Day,"391,5","376,75","2,94%",22,392,50,1,30.10.2014,Day,"376,75","376,5",50,0,88,0,-17138,"-3,01%",323541,497853,"13,30%",7,"-1,0216393",0,Breakout High Entry, Stop Exit,23.10.2014,30.10.2014,,,41064,41066,,O,,,,,,
1,1,Donchian w Rule Labels,NG,1,Short,15.10.2014,Open,"6,149","6,352","3,15%",8,"6,131",10000,1,04.11.2014,Day,"6,352","6,355",10000,0,32,0,-17952,"-3,19%",345700,615593,"1,00%",20,"-1,0153846",0,Breakout Low Entry, Stop Exit,15.10.2014,04.11.2014,,,41064,41066,,NG,,,,,,
1,1,Donchian w Rule Labels,W,1,Short,16.06.2014,Open,"756,25",785,"2,64%",3,752,50,1,13.11.2014,Day,"694,5","694,75",50,0,24,0,"8454,6262792","4,52%",350331,670557,"5,00%",150,"1,7080053",0,Breakout Low Entry, Breakout High Exit,16.06.2014,13.11.2014,,,41064,41066,,W,,,,,,
1,1,Donchian w Rule Labels,LB,1,Short,29.10.2014,Day,"343,7","354,6","2,98%",13,"343,4",110,1,21.11.2014,Day,"354,6","354,7",110,0,52,0,-16211,"-3,01%",420573,697006,"6,90%",23,"-1,0121753",0,Breakout Low Entry, Stop Exit,29.10.2014,21.11.2014,,,41064,41066,,LB,,,,,,
1,1,Donchian w Rule Labels,OJ,1,Short,25.09.2014,Day,"117,85","123,75","2,90%",13,"117,75",150,1,26.11.2014,Day,"123,75","123,8",150,0,104,0,"-12230,6989484","-3,03%",438205,718671,"4,00%",62,"-1,0453589",0,Breakout Low Entry, Stop Exit,25.09.2014,26.11.2014,,,41064,41066,,OJ,,,,,,
1,1,Donchian w Rule Labels,LC,1,Long,29.09.2014,Day,"136,175","132,25","2,97%",8,"136,3",400,1,08.12.2014,Day,"134,6","134,55",400,0,64,0,"-5997,4581776","-1,37%",518524,1031831,"0,70%",70,"-0,4627668",0,Breakout High Entry, Breakout Low Exit,29.09.2014,08.12.2014,,,41064,41066,,LC,,,,,,
1,1,Donchian w Rule Labels,FC,1,Long,13.02.2014,Day,"130,125","127,7","2,61%",3,"130,2",500,1,15.12.2014,Open,"187,5","186,5",500,0,84,0,"83263,1134575","57,85%",870068,1105486,"0,30%",305,"22,2034969",0,Breakout High Entry, Breakout Low Exit,13.02.2014,15.12.2014,,,41064,41066,,FC,,,,,,
1,1,Donchian w Rule Labels,ED,1,Long,17.12.2014,Day,"98,1625","98,105","3,02%",243,"98,165",2500,1,17.12.2014,Day,"98,105","98,1",2500,0,972,0,"-40459,5","-3,35%",861514,1166092,"3,40%",0,"-1,11",0,Breakout High Entry, Entry Day Stop Exit,17.12.2014,17.12.2014,,,41064,41066,,ED,,,,,,
1,1,Donchian w Rule Labels,BO,1,Short,01.12.2014,Day,"36,02","37,38","2,94%",33,"35,99",600,1,29.12.2014,Day,"37,38","37,39",600,0,264,0,"-28716,2079416","-3,07%",998618,1275000,"2,80%",28,"-1,043391",0,Breakout Low Entry, Stop Exit,01.12.2014,29.12.2014,,,41064,41066,,BO,,,,,,
1,1,Donchian w Rule Labels,GC,1,Short,10.09.2014,Day,"1282,5","1309,7","2,74%",3,"1282,3",100,1,15.01.2015,Day,"1291,4","1291,9",100,0,24,0,"-3205,1446472","-1,07%",1164354,1608030,"2,40%",127,"-0,3899203",0,Breakout Low Entry, Breakout High Exit,10.09.2014,15.01.2015,,,41064,41066,,GC,,,,,,
1,1,Donchian w Rule Labels,SF,1,Short,18.09.2014,Open,"1,1182","1,1286","3,44%",7,"1,1162",125000,1,15.01.2015,Day,"1,1081","1,1168",125000,0,56,0,"-970,6028567","-0,31%",1131352,1536091,"6,80%",119,"-0,0894565",0,Breakout Low Entry, Breakout High Exit,18.09.2014,15.01.2015,,,41064,41066,,SF,,,,,,
1,1,Donchian w Rule Labels,SI,1,Short,11.09.2014,Day,"1981,2",2042,"2,04%",2,"1979,7",50,1,16.01.2015,Day,"1868,3","1868,7",50,0,16,0,"10851,1152309","3,55%",1117882,1581226,"4,00%",127,"1,741752",0,Breakout Low Entry, Breakout High Exit,11.09.2014,16.01.2015,,,41064,41066,,SI,,,,,,
1,1,Donchian w Rule Labels,PL,1,Short,27.08.2014,Open,"1439,9","1470,9","2,76%",4,"1438,8",50,1,20.01.2015,Day,"1295,9","1296,6",50,0,48,0,"27988,7796463","12,05%",1098991,1550379,"5,90%",146,"4,359623",0,Breakout Low Entry, Breakout High Exit,27.08.2014,20.01.2015,,,41064,41066,,PL,,,,,,
1,1,Donchian w Rule Labels,ED,1,Long,13.01.2015,Day,"98,1575","98,0825","2,99%",249,"98,16",2500,1,06.02.2015,Day,"98,0825","98,0775",2500,0,996,0,"-52352,25","-3,24%",1083910,1535545,"16,60%",24,"-1,0851613",0,Breakout High Entry, Stop Exit,13.01.2015,06.02.2015,,,41064,41066,,ED,,,,,,
1,1,Donchian w Rule Labels,JGB,1,Long,24.09.2014,Day,"143,28","142,99","2,79%",4,"143,29","9172,6288754",1,13.02.2015,Day,"144,52","144,51","8418,9257451",0,32,0,"40307,8316873","10,22%",1123907,1551365,"15,80%",142,"3,6619665",0,Breakout High Entry, Breakout Low Exit,24.09.2014,13.02.2015,,,41064,41066,,JGB,,,,,,
1,1,Donchian w Rule Labels,LGO,1,Short,15.07.2014,Day,"982,6","1001,1","2,81%",3,"982,05",100,1,25.02.2015,Day,"670,9",671,100,0,108,0,"91301,9158129","44,84%",1169326,1681872,"8,70%",225,"15,9758383",0,Breakout Low Entry, Breakout High Exit,15.07.2014,25.02.2015,,,41064,41066,,LGO,,,,,,
1,1,Donchian w Rule Labels,HO,1,Short,02.09.2014,Day,"3,0238","3,0888","2,20%",2,"3,0223",42000,1,25.02.2015,Day,"2,3229","2,3231",42000,0,56,0,"57276,7235958","22,58%",1167449,1676122,"9,00%",176,"10,2536204",0,Breakout Low Entry, Breakout High Exit,02.09.2014,25.02.2015,,,41064,41066,,HO,,,,,,
1,1,Donchian w Rule Labels,HU,1,Short,06.10.2014,Day,"2,6311","2,7185","2,64%",4,"2,6306",42000,1,25.02.2015,Day,"1,9724","1,9731",42000,0,96,0,"107765,9068836","19,29%",1157411,1659953,"9,90%",142,"7,2976534",0,Breakout Low Entry, Breakout High Exit,06.10.2014,25.02.2015,,,41064,41066,,HU,,,,,,
1,1,Donchian w Rule Labels,BO,1,Short,23.01.2015,Day,"35,51","36,79","2,90%",63,"35,5",600,1,02.03.2015,Day,"36,79","36,81",600,0,504,0,"-51410,4048843","-3,05%",1150040,1586627,"13,80%",38,"-1,0543129",0,Breakout Low Entry, Stop Exit,23.01.2015,02.03.2015,,,41064,41066,,BO,,,,,,
1,1,Donchian w Rule Labels,US,1,Long,30.04.2014,Day,"132,265625","130,578125","1,97%",2,"132,28125",1000,1,06.03.2015,Day,"143,421875","143,296875",1000,0,40,0,"21550,5468422","12,49%",1140512,1723985,"6,40%",310,"6,326766",0,Breakout High Entry, Breakout Low Exit,30.04.2014,06.03.2015,,,41064,41066,,US,,,,,,
1,1,Donchian w Rule Labels,CC,1,Long,04.03.2015,Open,2957,2866,"2,97%",53,2961,10,1,09.03.2015,Day,2866,2865,10,0,212,0,-51092,"-3,02%",1089541,1818432,"1,30%",5,"-1,0147368",0,Breakout High Entry, Stop Exit,04.03.2015,09.03.2015,,,41064,41066,,CC,,,,,,
1,1,Donchian w Rule Labels,PA,1,Long,03.03.2015,Open,"831,65","801,1","3,14%",15,"834,45",100,1,11.03.2015,Day,"801,1","800,6",100,0,60,0,-50835,"-3,19%",1412410,1843039,"0,70%",8,"-1,0161919",0,Breakout High Entry, Stop Exit,03.03.2015,11.03.2015,,,41064,41066,,PA,,,,,,
1,1,Donchian w Rule Labels,HG,1,Short,22.09.2014,Day,"313,7","321,9","2,83%",5,"313,6",250,1,20.03.2015,Day,"288,05","288,1",250,0,60,0,"31074,4913137","8,47%",1556712,2003205,"6,00%",179,"2,9951317",0,Breakout Low Entry, Breakout High Exit,22.09.2014,20.03.2015,,,41064,41066,,HG,,,,,,
1,1,Donchian w Rule Labels,GC,1,Short,17.03.2015,Day,"1183,4","1219,3","2,92%",16,"1182,9",100,1,20.03.2015,Day,"1219,3","1219,4",100,0,64,0,-58464,"-2,93%",1498280,1974693,"7,30%",3,"-1,0038462",0,Breakout Low Entry, Stop Exit,17.03.2015,20.03.2015,,,41064,41066,,GC,,,,,,
1,1,Donchian w Rule Labels,W,1,Short,26.02.2015,Day,"638,75","665,75","2,92%",36,"638,5",50,1,20.03.2015,Day,"665,75","666,25",50,0,144,0,-50094,"-2,98%",1448258,1957071,"8,10%",22,"-1,0212844",0,Breakout Low Entry, Stop Exit,26.02.2015,20.03.2015,,,41064,41066,,W,,,,,,
1,1,Donchian w Rule Labels,OJ,1,Short,24.02.2015,Day,"100,45","106,7","2,89%",52,"100,4",150,1,24.03.2015,Day,"106,7","106,75",150,0,208,0,-49738,"-2,93%",1398642,1530827,"28,10%",28,"-1,0121693",0,Breakout Low Entry, Stop Exit,24.02.2015,24.03.2015,,,41064,41066,,OJ,,,,,,
